"org","#154 (PR #762): New interface to query hardware resource info (no-no)","#543 (PR #791): Pending operation not defined, pending proper definition (1st)","#641 (PR #752): Including Annex A.2 back into the standard (2nd)","#493 (PR #753): Issue N - Progress-Section in terms-2.tex (2nd)","#471 (PR #751): Fix Incorrect Usage of Rank/Task/etc. in Terms Chapter (2nd)","#565 (PR #727): Refer to Fortran 2018 instead of 2008+TS (2nd)","#644 (PR #759): Update 'Process Topology' chapter title to use MPI process (2nd)","#542 (PR #795): Correct usage of the terms error and return codes in the tools chapter (2nd)","#414 (PR #723): Mention behavior with potential overflow (2nd)","#564 (PR #800): Fortran Binding Issues and Capitalization (errata)","#680 (PR #801): missing MPI_Scan_init and MPI_Exscan_init from a sentence on collective taxonomy (errata)","#57 (PR #221): Deprecate MPI_HOST (no-no)","#408 (PR #740): added reference to the fact that hints must be adhered to by the app (1st)","#411 (PR #739): Fix comment on Info object in incomplete functions (no-no)","#480 (PR #738): Fix Incorrect Usage of Rank/Task/etc. in External Interfaces Chapter (no-no)","#541 (PR #647): Consistency Updates for MPI_Info Chapter for MPI 4.1 (1st)","#555 (PR #671): Example 12.4, RMA communication calls may not block in PSCW (1st)","#653 (PR #769): Make all RMA communication procedures local (no-no)","#652 (PR #768): RMA, Examples 12.4 and 12.5 contain advice to implementors (no-no)","#23 (PR #708): Allow MPI_WIN_SHARED_QUERY on created and allocated windows (no-no)","#646 (PR #771): WTIME and WTICK should be symbols (2nd)","#647 (PR #770): Handle conversions should be symbols (2nd)","#561 (PR #722): Deprecate mpif.h (no-no)","#538 (PR #761): Allow pset names to guide splitting in MPI_Comm_split_type (2nd)","#117 (PR #748): Logically concurrent is not (2nd)","#188 (PR #203): Section 3.5 - p. 45 - Comment Erroneous Example (2nd)","#83 (PR #666): Info key for strict start ordering of persistent collective communication (2nd)","#472 (PR #606): Fix Incorrect Usage of Rank/Task/etc. in Point to Point Chapter (2nd)","#518 (PR #623): Deprecate all _x procedures (no-no)","#683 (PR #810): Question: MPI_Dims_create - is 'as close to each other as possible' a requirement? (no-no)","#341 (PR #806): RC issues found in chap-coll (no-no)","#669 (PR #788): Add operation state enabled and local calls into Terms (no-no)","#639 (PR #750): Clarification for the local/nonlocal nature of MPI_WAIT (no-no)","#154 (PR #762): New interface to query hardware resource info (1st)","#57 (PR #221): Deprecate MPI_HOST (1st)","#411 (PR #739): Fix comment on Info object in incomplete functions (1st)","#480 (PR #738): Fix Incorrect Usage of Rank/Task/etc. in External Interfaces Chapter (1st)","#653 (PR #769): Make all RMA communication procedures local (1st)","#652 (PR #768): RMA, Examples 12.4 and 12.5 contain advice to implementors (1st)","#23 (PR #708): Allow MPI_WIN_SHARED_QUERY on created and allocated windows (1st)","#561 (PR #722): Deprecate mpif.h (2nd)","#518 (PR #623): Deprecate all _x procedures (1st)","#520 (PR #798): Add compound datatypes for large integers for MPI_(MIN|MAX)LOC (no-no)","#586 (PR #736): MPI_Buffer_attach and Sessions (no-no)","#580 (PR #714): Memory Alloc Kind Info (no-no)","#120 (PR #98): MPI_Cart_create_weighted, Topology aware Cartesian communicators (no-no)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Queen's University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Abstain","Abstain","Yes","Abstain","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes"
